film_title,film_year,production_country,director,release_month,release_year,release_location,production_company,cast,imdb_id
Il dolce veleno,1921,Italy,nm1302092,June,1921,Italy,Rinascimento Film,"nm2562360, nm1883759, nm0538729, nm2561799, nm1294250",tt0965609
La piovra,1919,Italy,nm0070374,May,1919,Italy,"Bertini Film, Caesar Film","nm0078116, nm0637019, nm0667546, nm0771160",tt0010570
Las delicias del campo,1920,Spain,nm0143333,,,,Excelsa Films,nm0350524,tt0011104
L'ombra del male,1913,Italy,nm0951508,February,1913,Italy,Itala Film,"nm0021935, nm0142822, nm1269629",tt0953537
"Mutual Weekly, No. 9",1913,USA,,February,1913,USA,Gaumont Company,"nm0025468, nm0146796, nm0266395, nm9184654, nm0454404, nm9184656, nm5037497, nm0613623, nm9184655, nm1138324",tt4344488
Patatrac,1931,Italy,nm0726729,,,,Società Italiana Cines,"nm0266031, nm0266032, nm0414294, nm0080615, nm0957867, nm0076609, nm0682595, nm0887830, nm0656512, nm0227573, nm1151285, nm0187464, nm4703840",tt0022258
Eva nemica,1916,Italy,"nm0684659, nm0734958",April,1916,Italy,Società Anonima Ambrosio,"nm1216205, nm0215956, nm0538729, nm0684659, nm0850499",tt0965616
Via Crucis,1919,Italy,nm1513152,October,1919,Italy,Italo-Egiziana Film,"nm0201030, nm2489934, nm0762718",tt0923027
"L'ombra, la morte, l'uomo",1923,Italy,nm0209741,September,1923,Italy,De Liguoro Film,"nm0209740, nm0872195, nm1295234",tt1072657
Friquet,1919,Italy,nm0952610,September,1919,Italy,Lombardo Film,"nm0350524, nm0626131, nm0526921, nm1426313, nm1513704, nm1917503, nm1909921",tt0456419
"Ave Maria, gratia plena!",1919,Italy,nm0439188,,,,,"nm0094529, nm0439188",tt0278326
Il marchio,1916,Italy,nm0693529,September,1916,Italy,Jupiter Film,"nm0345208, nm0439188, nm1532578, nm0693529, nm2519042",tt1065459
Espiazione,1916,Italy,nm0181231,February,1916,Italy,Apollo Films,"nm0109264, nm0109266, nm1269356, nm0899597",tt1067161
Camere separate,1917,Italy,nm0726729,November,1917,Italy,Tiber-film,"nm0172822, nm0414293, nm0137706, nm0347032",tt0159322
Gli amori di Casanova,1929,Italy,,,,,,nm0209740,tt0020120
Martirio,1920,Italy,nm0603386,,,,,"nm0021935, nm0202688, nm0603386",tt0270498
Il mercante di Venezia,1911,Italy,nm0516263,February,1911,Italy,Film d'Arte Italiana,"nm0637025, nm0078116, nm0316269",tt0001314
Pierrot,1917,Italy,nm0439188,June,1917,Italy,David-Karenne Film,"nm0439188, nm0597903",tt0903927
Die vier letzten Sekunden des Quidam Uhl,1924,Germany,nm1720536,,1924,Germany,Monumental-Film-Werke Berlin,"nm0212234, nm0266234, nm1960420, nm0538729, nm0617050",tt0488667
Spiritismo,1919,Italy,nm0211158,February,1919,Italy,"Bertini Film, Caesar Film","nm0078116, nm0637019, nm0684960, nm0131042, nm0211158, nm0408664",tt0194398
Tramonto triste,1916,Italy,nm0684659,September,1916,Italy,Società Anonima Ambrosio,"nm0032106, nm0082101, nm0138479, nm0538729",tt0965691
Sempre nel cor la patria,1915,Italy,nm0303120,September,1915,Italy,Società Italiana Cines,"nm1216023, nm1271564, nm0350524",tt0203106
La fibra del dolore,1919,Italy,nm0624511,February,1919,Italy,Tiber-film,"nm0138479, nm1722531, nm0381428, nm0629279",tt1063613
A sud niente di nuovo,1957,Italy,nm0800547,,,,Nova,"nm0485219, nm0850236, nm0200861, nm0290546, nm0082419, nm0728960, nm0078116, nm0556401, nm0139213, nm0659461, nm0210582, nm0133174, nm0876947, nm0212121, nm0896060, nm0210150, nm0333867, nm0030380, nm0514116, nm0125626, nm0898964, nm0298889, nm0098743, nm0191265, nm0311653, nm0266946, nm0677669",tt0050088
Jou-Jou,1916,Italy,nm0624511,September,1916,Italy,Tiber-film,"nm0137706, nm0144302, nm0172822, nm0195176, nm0381428, nm0526921",tt1050144
Assunta Spina,1915,Italy,"nm0078116, nm0784988",May,1916,Finland,Caesar Film,"nm0078116, nm0784988, nm0070959, nm0016697, nm0162638, nm0189970, nm0172822, nm0016688",tt0003637
