film_title,film_year,production_country,director,release_month,release_year,release_location,production_company,cast,imdb_id
L'arzigogolo,1924,Italy,nm0021933,January,1924,Italy,Alba Film,"nm0021935, nm0079246, nm0082101, nm0172822, nm0591622, nm0682544",tt0338742
Idolo infranto,1913,Italy,nm0315780,October,1913,Italy,Società Italiana Cines,"nm0078116, nm0302942, nm0172822",tt0178618
In hoc signo vinces (In questo segno vincerai),1913,Italy,nm0654581,December,1913,Italy,Savoia Film,"nm0414294, nm1530196, nm0518359, nm2670997, nm1333550, nm1896373, nm2668805, nm2489934, nm2676117, nm2667747",tt1041763
Venere propizia,1919,Italy,nm1513152,December,1919,Italy,Circe Film,"nm2489934, nm0702894, nm0762718",tt0929489
Ave Maria,1920,Italy,"nm2458357, nm0439188",August,1920,Italy,Tespi Film,"nm1531100, nm0094529, nm0131042, nm0439188, nm1294250, nm0872369, nm1267258",tt0903778
Cause ed effetti,1917,Italy,nm0333309,October,1917,Italy,,"nm0109266, nm2522498, nm0333309, nm0335908, nm2716526, nm2792439, nm1272509, nm0698729",tt1080902
Passioni,1922,Italy,nm0207107,February,1922,Italy,Unione Cinematografica Italiana,"nm0762718, nm0784988",tt0928058
Il segreto del dottore,1931,USA,nm0759386,February,1931,Italy,Paramount Pictures,"nm0303122, nm0681441, nm0730611, nm0082101, nm1875305, nm0889246, nm0629270",tt0211615
Il bel gesto,1914,Italy,nm0303120,June,1914,Italy,Società Italiana Cines,"nm0056080, nm0303122, nm1550622, nm1295384",tt1047586
L'immagine,1963,Italy,nm1483832,,1963,,RAI Radiotelevisione Italiana,"nm0049531, nm0080614, nm0109266, nm2677715, nm0148585, nm1359477, nm0544075, nm0660035, nm0675692, nm0865028, nm0893818",tt7693610
Le mani ignote,1913,Italy,nm1349381,,1913,Italy,Società Italiana Cines,"nm0321346, nm0526921, nm0579618, nm0779393",tt0963310
Addio Musetto,1921,Italy,nm0726729,November,1921,Italy,Fert Film,"nm0082101, nm0414293, nm0448656, nm1252987",tt0938507
I tre amanti,1921,Italy,nm0957995,March,1921,Italy,Fert Film,"nm0021935, nm0144302, nm0553335, nm0637019, nm1252987, nm0899528",tt0337331
Una tragedia alla Corte di Milano,1912,Italy,,,1912,Italy,Film d'Arte Italiana,"nm0078116, nm1011921, nm0784988, nm2709355",tt1065516
Amleto e il suo clown,1920,Italy,nm0303120,January,1920,Italy,D'Ambra Film,"nm0303122, nm1302310, nm1291837, nm0302942, nm1299620, nm0596837, nm1301680, nm1295663",tt0247166
La signorina Chicchiricchì,1929,Italy,nm0673035,April,1929,Italy,Titanus,"nm0350524, nm0650750, nm1100228",tt1045209
Giovinezza trionfa!,1914,Italy,nm0312866,June,1914,Italy,Società Italiana Cines,"nm1298105, nm0321346, nm0579618, nm0874482",tt0934846
Val d'olivi,1916,Italy,nm0734958,February,1916,Italy,Società Anonima Ambrosio,"nm1271344, nm0138479, nm1271630, nm0231876, nm0538729, nm0744105, nm0768865, nm0865998, nm0890415",tt0215298
Fünf bange Tage,1928,Germany,nm0726729,October,1929,Finland,Lothar Stark-Film,"nm0414294, nm0688480, nm0514027, nm0300388, nm0016641, nm0362501, nm0274034",tt0018922
L'onestà che uccide,1914,Italy,nm1004886,April,1914,Italy,Celio Film,"nm0078116, nm0137706, nm0302942, nm0352120",tt0191331
Assunta Spina,1930,Italy,nm0730743,March,1930,Italy,Caesar Film,"nm0117874, nm0195221, nm0209740, nm0546917, nm0553335, nm1301196, nm0825923",tt0265048
La moglie bella,1924,Italy,nm0312866,December,1924,Italy,Genina Film,"nm0595772, nm0749431, nm0785802, nm0094529, nm0853724",tt0187310
I sette peccati capitali,1918,Italy,nm0211158,,1918,Italy,,"nm0078116, nm0211158, nm0667546, nm0016688",tt1177940
Contrasto,1913,Italy,,September,1913,Italy,Società Italiana Cines,"nm0381428, nm0557831, nm0579618, nm0526921",tt0963285
La flotta degli emigranti,1917,Italy,nm0138251,April,1917,Italy,De Rosa Film,"nm0109266, nm0333309, nm0335908, nm1292460, nm2500747, nm0503064, nm0538080, nm1283828, nm0757369",tt0925076
Prinzessin Olala,1928,Germany,nm0484366,October,1929,Portugal,Super-Film GmbH,"nm0091415, nm0727210, nm0018437, nm0094529, nm0576233, nm0000017, nm0002161, nm0324501, nm0844227, nm0160711, nm0944196, nm0002154",tt0018656
La follia di Noretta,1924,Italy,nm0957995,November,1924,Portugal,E.D.A.,"nm0082101, nm0414293, nm1293560, nm1300903, nm0688230, nm1900147",tt0458689
Vietato ai minorenni,1944,Italy,nm0557084,March,1944,Italy,Industrie Nazionali Associate Cinematografiche (I.N.A.C.),"nm0893032, nm0869224, nm0620518, nm0541445, nm0798309, nm0311165, nm0539174, nm0046785, nm0179762, nm0233614, nm0315648, nm0323022, nm0345311, nm0496408, nm0685066, nm0762718, nm0758047, nm0812163, nm0816530, nm0866463, nm0894503, nm0956984",tt0036500
I due crocefissi,1920,Italy,nm0312866,February,1920,Italy,Itala Film,"nm0021935, nm1301557, nm0664698, nm0682530",tt0169813
La sfinge,1918,Italy,nm0143333,January,1918,Italy,Tiber-film,"nm0172822, nm0352120, nm0414294",tt1041843
"Diana, l'affascinatrice",1915,Italy,nm0784988,March,1916,Sweden,Caesar Film,"nm0070959, nm0078116, nm0207107, nm0784988",tt0167894
Il cadavere vivente,1913,Italy,"nm2486447, nm0654581",,1913,Italy,Savoia Film,"nm0518359, nm0414294, nm2656839, nm1896373, nm0626131, nm2674031, nm1899346, nm2673189, nm1530196, nm0739971",tt1041700
Lisa Fleuron,1920,Italy,nm0730743,June,1920,Italy,"Bertini Film, Caesar Film","nm0078116, nm0162244, nm0195903, nm0209609, nm1293560, nm0688230, nm0759474",tt0182292
Der Trödler von Amsterdam,1925,Germany,nm0418131,November,1925,Germany,Deutsche Vereins-Film AG (Defa-Deutsche Fox),"nm0470328, nm0383844, nm0089939, nm0362501, nm0414293, nm0585785, nm0688480",tt0016459
La tenebrosa mano,1916,Italy,,February,1916,Italy,Itala Film,"nm0021935, nm2563820, nm0202688, nm1518450",tt0965537
All'ombra di un trono,1921,Italy,nm0303120,November,1921,Italy,Films Gallone,"nm0143685, nm0303122, nm1146178, nm2500605",tt0928016
Marthú che ha visto il diavolo,1921,Italy,nm0021933,December,1921,Italy,Fert Film,"nm0021935, nm1252987, nm0757369",tt0331286
Beatrice d'Este,1912,Italy,"nm0266080, nm0312866",February,1912,Spain,"Film d'Arte Italiana, Pathé Frères","nm0078116, nm1011921, nm0784988, nm1049615, nm1055183",tt0296521
"Cleo, robes et manteaux",1935,Italy,nm0538966,,,,Caesar Film,"nm0094529, nm0177815, nm0266032",tt0026220
La contessa Sara,1919,Italy,nm0730743,September,1919,Italy,Caesar Film,"nm0078116, nm0759474, nm0016688, nm0080672, nm1292135, nm1287181, nm1293560, nm0684960",tt0166547
Amica,1916,Italy,nm0345500,May,1916,Italy,Società Italiana Cines,"nm0350524, nm0557831, nm0598712, nm0637019, nm0688230",tt0192971
Capricci di gran signore,1913,Italy,nm1156070,,1913,Italy,Pasquali e C.,"nm0139215, nm0162321, nm1291814, nm0414294",tt0938564
The Mad Empress,1939,"Mexico, USA",nm0176472,December,1939,USA,Miguel Contreras Torres,"nm0636969, nm0041172, nm0619261, nm0692826, nm0107574, nm0217303, nm0569466, nm0730165, nm0167032, nm0207637, nm0899521, nm0348170, nm0716501, nm0026049, nm0292537, nm0719121, nm0739419, nm0729480, nm0781232, nm0615350, nm0090371, nm0209740, nm0298832, nm0307986, nm0636199, nm0756814, nm0828314, nm0842522",tt0032740
Il padrone delle ferriere,1919,Italy,nm0673035,June,1920,Spain,Itala Film,"nm0143332, nm0208538, nm0209609, nm0579618, nm0587801, nm0637019, nm0785802",tt0194217
La donna della montagna,1944,Italy,nm0144677,October,1944,Italy,Lux Film,"nm0078055, nm0623443, nm0195208, nm0705039, nm0545643, nm0414294, nm0991915, nm0028944, nm0321407, nm1402922, nm0665109",tt0035821
La rosa di Tebe,1912,Italy,nm0345500,May,1912,Italy,Società Italiana Cines,"nm0078116, nm1014493, nm0526921, nm0637019",tt0200067
Le collier de la reine,1929,France,"nm0500846, nm0712304",,1929,Germany,Gaumont-Franco Film-Aubert (G.F.F.A),"nm0151964, nm0486946, nm0439188, nm0263808, nm0916622, nm0663108, nm0264675, nm0363450, nm0847851, nm0597779, nm0560844, nm2110741, nm1007491, nm0187579, nm0200655, nm0269576, nm0599997, nm0767486, nm0889527",tt0198377
Vampe di gelosia,1913,Italy,nm1193022,,1913,Italy,Savoia Film,"nm2557773, nm0414294, nm0518359, nm0537818",tt1041875
Coiffeur pour dames,1924,Italy,nm0657535,July,1924,Italy,Lombardo Film,"nm1909921, nm2683174, nm0350524, nm0667546, nm2447058, nm0718580",tt1045047
Una donna,1914,Italy,nm0407846,December,1914,Italy,Celio Film,"nm0078116, nm1291238, nm0302942, nm0407846, nm1294238, nm0850499",tt0168696
Amore bendato,1914,Italy,,January,1914,Italy,Celio Film,"nm0350524, nm0172822, nm0070962",tt0310635
La Gioconda,1916,Italy,nm0734958,June,1916,Italy,Società Anonima Ambrosio,"nm0109266, nm0538729, nm0610618, nm0484334",tt0176765
A sipario calato,1913,Italy,,,1913,Italy,Società Italiana Cines,"nm0579618, nm2269238, nm0855870, nm1029576",tt0963268
Rose vermiglie,1917,Italy,nm0546917,June,1917,Italy,Itala Film,"nm0021935, nm0546917",tt0965527
La gloria,1913,Italy,nm0624511,November,1913,Spain,Celio Film,"nm0078116, nm0172822, nm0597903, nm0208352",tt0178508
L'ultimo dei Borgia,1920,Italy,nm1282639,April,1920,Italy,Argo Film,"nm2507623, nm0109263, nm0109266, nm2628569, nm1133318, nm0866508, nm1295234",tt1081019
L'albero che parla,1913,Italy,,,1913,Italy,Società Italiana Cines,"nm0315780, nm0350524, nm0172822",tt1045003
Le inchieste del commissario Maigret,1964,Italy,,,1964,,RAI Radiotelevisione Italiana,"nm0148974, nm0656512, nm0544887, nm0124376, nm0853730, nm0615698, nm0901763, nm0513353, nm0769112, nm0768922, nm0028337, nm0814433, nm0079347, nm0744174, nm0218325, nm1008999, nm0881746, nm0537706, nm1164577, nm1065041, nm0312975, nm0526927, nm0244602, nm0563670, nm0867333, nm0314429, nm0674358, nm0320935, nm0230130, nm0669587, nm0585069, nm0061453, nm0813059, nm0025070, nm0154804, nm0865493, nm0675692, nm0493964, nm0527787, nm0547049, nm0812741, nm0545858, nm0581028, nm0881099, nm0656474, nm0309798, nm1110166, nm0723279, nm0478880, nm0210154, nm0080503, nm0323010, nm0491701, nm0726737, nm0307337, nm0542077, nm0613538, nm0663111, nm1066385, nm1067685, nm0541963, nm0100655, nm0276442, nm0545602, nm0712284, nm0080763, nm0519420, nm0053531, nm0262321, nm0798309, nm0019605, nm0181298, nm0199542, nm0271229, nm0604871, nm0683888, nm1110836, nm1048349, nm0217377, nm1169375, nm1246348, nm0312595, nm0192076, nm0208662, nm0563567, nm0957714, nm0029523, nm0013310, nm0815092, nm0993131, nm0117868, nm0754669, nm0819010, nm0095084, nm4311246, nm1007027, nm0070234, nm0873384, nm0137567, nm0743102, nm0481349, nm0124490, nm0315782, nm0524399, nm0136227, nm0205788, nm1168952, nm0345791, nm0911354, nm0992229, nm0146405, nm0023591, nm0345311, nm0534011, nm0232228, nm0518419, nm1242308, nm0146333, nm2350393, nm0600102, nm0557615, nm0330921, nm0457839, nm1164035, nm0135462, nm0707185, nm1163617, nm0605398, nm1168842, nm0174150, nm0518352, nm1164019, nm0557167, nm1169716, nm1164200, nm1164209, nm0822275, nm1169221, nm0662685, nm1167541, nm0535472, nm1169451, nm1168175, nm0700689, nm0137708, nm4310978, nm4311011, nm0678033, nm4309867, nm0002231, nm1214417, nm1089289, nm0517149, nm0142995, nm0411299, nm4151076, nm0157951, nm0179395, nm0068909, nm4309815, nm0060417, nm0728949, nm0800548, nm0598840, nm0763862, nm0028324, nm0049531, nm0094687, nm0095255, nm2489104, nm0143303, nm1707879, nm0254995, nm1214705, nm0298917, nm0303413, nm0508730, nm0524573, nm1065943, nm2681724, nm0544817, nm0559862, nm0585936, nm0650010, nm0707886, nm0199253, nm0714052, nm3228215, nm0868910, nm0850442, nm0875713, nm0109266, nm0116277, nm0142761, nm3226533, nm1943484, nm0287347, nm0315998, nm0510639, nm0516254, nm0535489, nm0540744, nm0563561, nm3227825, nm0667613, nm0726741, nm0767552, nm0820938, nm0865338, nm0893445, nm0895705, nm0952796, nm1168641, nm0957535, nm0016625, nm0019145, nm0022066, nm0046785, nm1068638, nm3028420, nm0080798, nm0097953, nm1111500, nm0130018, nm0130050, nm2677715, nm0144669, nm1275187, nm1212729, nm1345965, nm1108927, nm7240596, nm0224313, nm0231575, nm0267847, nm1111582, nm7240595, nm0283057, nm0307491, nm0315661, nm1085449, nm0324645, nm0346742, nm0385951, nm0407162, nm0493982, nm0527784, nm0538969, nm0539011, nm0539455, nm0541973, nm1360241, nm0557806, nm0558089, nm0561221, nm0563481, nm1018510, nm0591856, nm0592716, nm4310429, nm0644124, nm0656483, nm4311201, nm0660007, nm0661715, nm0663943, nm0673034, nm0674415, nm0723168, nm0726019, nm0728343, nm0728967, nm4311114, nm0754638, nm0759372, nm0759880, nm0769273, nm0771941, nm0786319, nm0796222, nm0812163, nm1111851, nm1019959, nm0865357, nm0870995, nm1361084, nm0890192, nm1941970, nm0952838, nm0059012, nm0059607, nm0059706, nm1044819, nm0117877, nm0125657, nm0175945, nm0179110, nm0197532, nm0037876, nm1029052, nm0234581, nm0255677, nm0289450, nm0345794, nm0484883, nm0508836, nm1045984, nm0545643, nm0556146, nm3226797, nm0560348, nm0584021, nm0597056, nm0672058, nm0682524, nm0723039, nm0762785, nm0800599, nm0818929, nm0872689, nm0876377, nm0010022, nm1163010, nm0022324, nm1215729, nm1162329, nm0024139, nm0040953, nm0056593, nm0070233, nm0094348, nm0104392, nm1163638, nm0140000, nm0147182, nm0174627, nm1085151, nm1085155, nm0265827, nm0267838, nm1168956, nm0301403, nm0302815, nm1085415, nm0320377, nm0346293, nm1165819, nm0489947, nm0491298, nm1086031, nm0547629, nm1169260, nm1086108, nm0606213, nm0647435, nm0652373, nm0658926, nm1166839, nm0678028, nm1086347, nm0689907, nm1167165, nm1169366, nm1167271, nm1167471, nm1086824, nm1168360, nm1249794",tt0287857
La fin de Monte-Carlo,1927,France,"nm0620587, nm0959921",November,1927,France,"Centrale Cinematographique, International Standard Film","nm0029671, nm0078116, nm0169152, nm0301146, nm0350244, nm0478770, nm0547329, nm0560915, nm5563156, nm1262112, nm0898489, nm0959921",tt0341355
Histoire d'un Pierrot,1914,Italy,nm0624511,February,1914,Italy,Celio Film,"nm0078116, nm0350524, nm0315780, nm0705304, nm0161750, nm0632480",tt0178570
Manon Lescaut,1911,Italy,,,1911,Italy,,nm0078116,tt0184700
Stella,1920,Italy,nm0143975,October,1920,Italy,Chimera Film,"nm0032106, nm1278768, nm1250994, nm1268134, nm1435527, nm0762718, nm0872195",tt0929477
Il vetturale del Moncenisio,1927,Italy,nm0624511,December,1928,France,Societa Anonima Stefano Pittaluga,"nm0656034, nm0209740, nm0143685, nm0076131, nm0117874, nm0109263, nm1260476, nm0543484, nm1148942, nm1302908, nm0591622, nm1301122",tt0018538
Maternità,1917,Italy,nm0211634,October,1917,Italy,Gladiator Film,"nm0021934, nm0021935, nm0161733, nm0406390, nm0872195",tt0193316
Redenzione,1919,"Spain, Italy","nm0303120, nm0558236",March,1919,Italy,Medusa Film,"nm0439188, nm0664698, nm0093710, nm0744242, nm1302310, nm0211282, nm1301539, nm0244600, nm1301084, nm0708839, nm1299689, nm1300043",tt0005958
Gli ultimi giorni di Pompeii,1926,Italy,"nm0303120, nm0657535",March,1926,Italy,Società Italiana Grandi Films,"nm0889511, nm0209740, nm0179386, nm0324553, nm0315780, nm0548053, nm0090548, nm0266928, nm0262482, nm0080697, nm0345223, nm0187642, nm0553335, nm0682595, nm0599981, nm0657537, nm0718580, nm0244596, nm0312633, nm0899933, nm0237868, nm0626197, nm0144663",tt0143962
Love's Conquest,1918,USA,nm0430968,May,1918,USA,Famous Players-Lasky Corporation,"nm0146796, nm0285202, nm0705359, nm0497277, nm0319599, nm0078543, nm0893809",tt0186321
Il piccolo cerinaio,1914,Italy,nm0312866,May,1914,Italy,Celio Film,"nm0350524, nm0746296",tt0194241
Per la sua gioia,1913,Italy,nm0624511,January,1913,Italy,Celio Film,"nm0078116, nm0172822, nm0137706, nm1293836",tt0193408
Zuma,1913,Italy,nm0624511,April,1913,Italy,Società Italiana Cines,"nm0381428, nm0526921, nm0350524, nm0557831, nm0579618, nm0144663",tt0963367
Manon Lescaut,1914,USA,nm0935488,May,1914,USA,Playgoers Film Company,"nm0146796, nm0613623, nm0037751, nm0008759, nm0358657, nm0922707, nm0915862, nm0362631, nm0935488, nm5915974",tt0004303
Romanticismo,1915,Italy,"nm0133153, nm0296703",September,1915,Italy,Società Anonima Ambrosio,"nm0124744, nm0138479, nm0231876, nm0538729, nm1516021, nm0785378, nm0850499",tt0200054
I vagabondi,1914,Italy,nm0303120,June,1914,Italy,Società Italiana Cines,"nm0056080, nm0303122, nm1295384",tt1047700
Il miracolo,1920,Italy,nm0143333,February,1920,Italy,Lombardo Film,"nm2489146, nm1513704, nm0195221, nm0350524",tt0922971
Arme Sünderin,1923,Germany,nm0307392,,,,Transozean Film GmbH,"nm0002154, nm0439188, nm0466776, nm1816386",tt0129759
Indiana,1920,Italy,nm2522802,September,1920,Italy,Tespi Film,"nm0439188, nm0658551",tt1065441
Re Lear,1910,Italy,nm0516263,December,1910,Spain,Film d'Arte Italiana,"nm0637025, nm0078116, nm0316269, nm0156990",tt0001378
Der Schrecken des Meeres,1924,Germany,nm0652302,November,1924,Germany,Münchner Lichtspielkunst AG (Emelka),"nm0212234, nm1274007, nm0521556, nm0538729, nm0617050, nm0774114, nm1273093",tt0249140
Il figlio di Madame Sans Gêne,1921,Italy,nm0624511,April,1924,Portugal,Tiber-film,"nm0381428, nm1267258, nm0769330, nm2615496, nm0211282, nm2609515, nm0688787",tt1000092
La danza dei milioni,1914,Italy,nm0624511,March,1914,Italy,Milano Film,"nm0381428, nm0667546, nm2711511",tt1063605
Salomé,1910,Italy,nm0266080,July,1910,UK,Film d'Arte Italiana,"nm0503227, nm1526655, nm1035410, nm1218250, nm0078116, nm1301183",tt0393670
Via delle cinque lune,1942,Italy,nm0157069,May,1942,Italy,Centro Sperimentale di Cinematografia,"nm0066745, nm0812765, nm0154804, nm0090548, nm0289983, nm0414294, nm0188096, nm0073264, nm0684841, nm0107783, nm0723168, nm0304989, nm0330926, nm0030433, nm1409964, nm0103854, nm1594899, nm1579782, nm0248787, nm0259820, nm0275213, nm1495593, nm0491342, nm0527784, nm1632726, nm0577365, nm1717648, nm1381372, nm0823100, nm0865565, nm0889467, nm1580208, nm1717870",tt0035511
Santarellina,1923,Italy,nm0673035,April,1923,Italy,Lombardo Film,"nm1909921, nm0350524, nm0650750, nm0718580, nm1100228",tt1045202
Love Is Watching,1914,Italy,,May,1914,USA,Milano Film,nm0381428,tt2841832
La bella salamandra,1917,Italy,nm0657535,July,1917,Italy,Cosmopoli Film,"nm0144313, nm0303122, nm0682530, nm0684659, nm1317848, nm1302492, nm2487812, nm2680949",tt1047587
Leda innamorata,1915,Italy,nm0407846,March,1915,Italy,Celio Film,"nm0161750, nm0350524",tt1045151
De Nationale Wetenschapsquiz,1997,Netherlands,nm0421297,,1997,,Vrijzinnig Protestantse Radio Omroep (VPRO),"nm0771931, nm9182914, nm7741207, nm9380345, nm0096330, nm9380344, nm1480930, nm1135828, nm1989293, nm0465802, nm2039536, nm9380347, nm0575317, nm9182915, nm2058309, nm9380346, nm0887030, nm0465647, nm2723864",tt7571172
La Possession,1929,France,nm0674600,May,1929,France,Franco Films,"nm0078116, nm0347389, nm0738041, nm0041303, nm0637496, nm0210469, nm1291436, nm1291833, nm0244765, nm0415199, nm0558886",tt0020284
Il mulino del Po,1963,Italy,,,1963,,RAI Radiotelevisione Italiana,"nm0885203, nm0683647, nm0493980, nm0608311, nm0581794, nm0598720, nm0581024, nm0140015, nm5402961, nm0233604, nm3286888, nm0321501, nm0890192, nm1245145, nm5403474, nm5403026, nm7359629, nm0681233, nm0265109, nm0632425, nm1159631, nm5403508, nm0762785, nm1158427, nm0651334, nm0124376, nm0493982, nm5403306, nm2030602, nm5403213, nm0161877, nm0279914, nm0659461, nm5403233, nm1816742, nm5403221, nm0818908, nm0602520, nm0746296, nm0136823, nm1160610, nm5403013, nm5403705, nm2238046, nm0961535, nm5403599, nm0271014, nm5403749, nm2246081, nm5403319, nm3694817, nm0798570, nm0544075, nm0093786, nm0621372, nm5403307, nm0487314, nm1360864, nm0300767, nm0869799, nm5403567, nm0867160, nm0172937, nm5403737, nm0872282, nm4101263, nm0605291, nm1167165, nm0109266, nm1179346, nm0046785, nm0274069, nm1044819, nm0346358, nm0664821, nm1361261, nm0563497",tt0299354
Fécondité,1929,France,"nm0263810, nm0959921",July,1929,France,"L'Écran d'Art, La Centrale Cinématographique","nm0300388, nm0439188, nm0699522, nm0480742, nm0021357, nm0202679, nm0894333, nm0221008, nm0623211, nm0586184, nm0955963, nm0959922, nm0712416",tt0019915
Maremma,1924,Italy,nm1298035,,,,,"nm0070959, nm1014493, nm0209740, nm1300903, nm1146178, nm1302467, nm0873732",tt0184708
La canzone di Werner,1914,Italy,nm1004886,April,1914,Italy,Celio Film,"nm0078116, nm1004340, nm0350524, nm0302942, nm1004245, nm0172822",tt0159338
Un dramma di Vittoriano Sardou,1918,Italy,nm0734958,April,1918,Italy,Rodolfifilm,"nm0109266, nm0734958, nm2736537, nm0850499, nm2308299",tt1074508
Sangue blu,1914,Italy,nm0654581,September,1914,Italy,Celio Film,"nm0078116, nm0161750, nm1296672, nm0302942, nm0352120, nm1294238, nm0705304",tt0201063
La signora delle camelie,1915,Italy,nm0784988,April,1916,Sweden,Caesar Film,"nm0070959, nm0070962, nm0078116, nm0189970, nm0211158, nm0719118, nm0784988",tt0991281
Bambola e bambini,1915,Italy,,January,1915,Italy,Società Italiana Cines,"nm0137706, nm0350524, nm0526921",tt1045016
Taras Bulba,1924,Germany,"nm0834496, nm0259616",June,1928,Japan,"Ermolieff-Film, Orbis-Film","nm1282905, nm1742103, nm0538729, nm0547998, nm1742316, nm0687223, nm0689798, nm1742397, nm1284256, nm1743216",tt0343065
Napule... e niente cchiù,1928,Italy,nm0673035,January,1928,Italy,Lombardo Film,"nm0350524, nm0650750, nm0684841, nm0780978, nm1100228, nm1322115, nm1322564",tt0312996
Il marito perduto,1920,Italy,nm0070374,December,1920,Italy,Chimera Film,"nm2494058, nm2016569, nm1278768, nm0195221, nm2486914, nm1268134, nm1287900, nm0762718",tt0929449
L'altro pericolo,1920,Italy,nm0624511,December,1920,Italy,Tiber-film,"nm1992113, nm2690136, nm0381428, nm0667546, nm2690176, nm1294250, nm0688787, nm2500842, nm1316056",tt1049030
Per non morire,1915,Italy,nm0407846,April,1915,Italy,Celio Film,"nm0302942, nm0414294",tt1041818
La donna e i bruti,1920,Italy,nm1156070,December,1920,Italy,Lombardo Film,"nm0350524, nm0626131, nm0718580, nm1914380, nm1911067",tt0456381
Beatrice Cenci,1926,Italy,nm0624511,December,1926,Italy,Societa Anonima Stefano Pittaluga,"nm0051737, nm0080752, nm0117874, nm0211282, nm0211424, nm0333309, nm0414294, nm0510319, nm1280368, nm0757369, nm0847790, nm0883994, nm0887830",tt0016633
Ma non è una cosa seria,1921,Italy,nm0131455,May,1921,Italy,Novafilm,"nm0094529, nm0131042, nm0526921, nm0624446, nm0771160",tt0184691
Casa di bambola,1919,Italy,nm0546917,September,1919,Italy,Mari Film,"nm0546917, nm0603279, nm1148942, nm1253447, nm1204409, nm0762718",tt0929413
Burrasca a ciel sereno,1914,Italy,,July,1914,Italy,Società Italiana Cines,"nm0137706, nm0172822, nm0350524",tt1045037
Venus im Frack,1927,Germany,nm0484366,April,1928,Portugal,International Film-Exchange,"nm0094529, nm0018437, nm0212287, nm0255956, nm0262430, nm0361001, nm0361880, nm0429406, nm0604940, nm0681620, nm0826210, nm0857986, nm0910396, nm0944290, nm0956517",tt0240172
La donna nuda,1914,Italy,nm0303120,April,1914,Italy,Società Italiana Cines,"nm0096330, nm0681441, nm0684960, nm0135304, nm0135303",tt0004384
La cricca dorata,1913,Italy,"nm0315780, nm0624511",April,1913,Spain,Celio Film,"nm0078116, nm0315780, nm0596837, nm0172822",tt0167844
Alla deriva,1915,Italy,nm0345500,March,1915,Italy,Società Italiana Cines,"nm0056080, nm0137706, nm0579618, nm0688230, nm0874482",tt0934778
La danza della vita e della morte,1917,Italy,nm0684659,February,1917,Italy,Cosmopoli Film,"nm0131206, nm0274065, nm0303122, nm0682530",tt1047605
La grazia,1929,Italy,nm0207362,November,1929,Italy,"Adia, Orplid-Film GmbH, Sofar-Film","nm0094529, nm0080615, nm0406390, nm0168093, nm0923377, nm0608318, nm0168059, nm0682595, nm0051737, nm1992113, nm2245509",tt0795935
Le avventure di Doloretta,1919,Italy,nm0726729,May,1919,Italy,Tiber-film,"nm0137706, nm0144302, nm0172822, nm0414293, nm0553335",tt0278331
L'ultima diva: Francesca Bertini,1982,Italy,nm0591308,,,,"Antea Cinematografica, RAI Radiotelevisione Italiana",nm0078116,tt0084235
Alma mater,1915,Italy,nm0345500,April,1915,Italy,Società Italiana Cines,"nm2552710, nm0579618, nm0682204, nm0688230",tt0963270
Madame Tallien,1916,Italy,"nm0143333, nm0345500",November,1916,Italy,Palatino Film,"nm0096330, nm0264607, nm0637019, nm0045227, nm0056080, nm0723236, nm0819010",tt0183455
Lyrisch nitraat,1991,Netherlands,nm0217782,February,1991,Germany,Yuca Film,"nm0096330, nm0691995, nm1929790",tt0102360
Retaggio d'odio,1914,Italy,nm0654581,January,1914,Italy,Società Italiana Cines,"nm0138409, nm0144663, nm0526921, nm0557831, nm0579618, nm0684960, nm1295384",tt0963329
Occupati d'Amelia,1925,Italy,nm1302092,March,1925,Italy,Rinascimento Film,"nm0211158, nm0526266, nm0529695, nm0579618, nm0718580",tt0963319
La principessa Giorgio,1920,Italy,nm0730743,April,1920,Italy,"Bertini Film, Caesar Film","nm0016688, nm0078116, nm0162244, nm1291706, nm0211424, nm1293562, nm0667546, nm1294250, nm0771160",tt0196012
La principessa Bebè,1921,Italy,nm0195076,February,1921,Italy,D'Ambra Film,"nm1292225, nm1295663, nm1301680, nm1301779, nm1301667, nm1298056, nm1300815, nm0209740, nm1299878, nm1298990, nm1298811, nm1298883",tt0196013
Scampolo,1928,Germany,nm0312866,March,1930,Portugal,Nero-Film AG,"nm0094529, nm0667546, nm0432721, nm0160711, nm0058620, nm0775180, nm0324501, nm0686783, nm0452209, nm0536167",tt0262749
La principessa,1919,Italy,,,,,,nm0078116,tt0196015
La falena,1916,Italy,nm0303120,March,1916,Italy,Società Italiana Cines,"nm0096330, nm0352120, nm1216023, nm0144313, nm0598712, nm0206315, nm0144302",tt0171307
Saitra la ribelle,1924,Italy,nm0657535,September,1924,Italy,Lombardo Film,"nm1909921, nm0350524, nm0650750, nm0667546, nm2677793",tt1045200
La pianista di Haynes,1921,Italy,nm0215516,September,1921,Italy,Lombardo Film,"nm0350524, nm0215516, nm0743102, nm0718580, nm0487727",tt0463162
La corsara,1916,Italy,nm1004886,January,1916,Italy,Celio Film,"nm0161750, nm0302942, nm0414294, nm0884388",tt1041710
Odette,1935,Italy,"nm0396789, nm0952571",June,1935,Italy,Caesar Film,"nm0078116, nm0265390, nm0561285, nm0561896, nm0546202, nm0613901, nm0910435, nm1047035, nm0537629, nm0264531",tt0025584
