film_title,imdb_id,film_year,production_country,director,release_month,release_year,release_location,production_locality,production_company,cast
Il fiore sotto gli occhi,tt0036825,1944,Italy,nm0109264,November,1944,Italy,,"Generalcine, Industrie Cinematografiche Artistiche Romane (I.C.A.R.)","nm0329746, nm0521545, nm0162322, nm0832375, nm0230981, nm0597266, nm0155078, nm0536167, nm0691728, nm0957535, nm0103854, nm0425690, nm0109266, nm0746279, nm0082101, nm0578743, nm0769380, nm0055364, nm0719969, nm0585970, nm0539174, nm0682595, nm0585936, nm0893818, nm0270767, nm0941731"
"Sant'Elena, piccola isola",tt0036331,1943,Italy,"nm0769256, nm0800625",June,1943,Italy,,Scalera Film S.p.a.,"nm0749431, nm0109266, nm0133734, nm0110299, nm0195003, nm0162322, nm0208563, nm0321405, nm0681441, nm0161758, nm0079246, nm0709951, nm0814773, nm0832375, nm0223997, nm0136823, nm0064899, nm0266945, nm0685612, nm1406618, nm1195476, nm1364282, nm0690059, nm0743102, nm0865492, nm1596812"
Behold My Wife!,tt0026107,1934,USA,nm0500552,December,1934,USA,,"B.P. Schulberg Productions, Paramount Pictures","nm0796662, nm0713270, nm0187711, nm0912478, nm0174051, nm0654530, nm0792130, nm0335749, nm0861034, nm0415591, nm0089314, nm0585481, nm0209740, nm0026655, nm0068926, nm0122817, nm0242568, nm0285548, nm0286665, nm0307324, nm0318670, nm0358792, nm0389043, nm0398250, nm0006475, nm0460906, nm0466232, nm0496889, nm0500361, nm0540469, nm0570471, nm0593671, nm0605723, nm0607864, nm0611804, nm0612864, nm0641776, nm0696985, nm0718980, nm0727529, nm0732552, nm0768178, nm0782962, nm0806565, nm0822061, nm0828314, nm0179877, nm0853517, nm0861680, nm0877813, nm0908063, nm0922925, nm0925904, nm0933161, nm0926985"
Pantera,tt1041815,1912,Italy,,,1912,Italy,Turin,Savoia Film,"nm1292464, nm0414294, nm0518359"
Il film rivelatore,tt1041732,1914,Italy,nm1156070,June,1914,Italy,Turin,Pasquali e C.,"nm0784988, nm0414294, nm0577534, nm0139215"
La preda,tt0195172,1924,Italy,nm0957995,,,,,,"nm0094529, nm0137706, nm1534154, nm0144302, nm0414294, nm0448656, nm0604105, nm0637019, nm0899528"
La fin de Monte-Carlo,tt0341355,1927,France,"nm0620587, nm0959921",November,1927,France,,"Centrale Cinematographique, International Standard Film","nm0029671, nm0078116, nm0169152, nm0301146, nm0350244, nm0478770, nm0547329, nm0560915, nm5563156, nm1262112, nm0898489, nm0959921"
Il serpente a sonagli,tt0026976,1935,Italy,nm0558127,September,1935,Italy,,"Safir, Tiberia Film","nm0078728, nm0832375, nm0313123, nm0109266, nm0656512, nm0109265, nm0889246, nm0536234, nm0227573, nm4724453, nm0301378, nm0149085, nm0277276, nm0177815, nm4724421, nm0738871, nm0207087, nm0408490, nm0577365, nm0667946, nm0243913, nm0079338, nm1801799, nm1847068, nm0080614, nm0899262, nm4724432, nm4724483"
Quo Vadis?,tt0015253,1924,Italy,"nm1883879, nm0414985",,1924,Austria,Rome,Unione Cinematografica Italiana,"nm0417837, nm0762718, nm0209740, nm0356233, nm0352120, nm0887830, nm0090548, nm0899262, nm0296937, nm0144663, nm0109547, nm0448656, nm1146178, nm0953131"
L'ora terribile,tt1000141,1923,Italy,nm0624511,August,1925,Portugal,Rome,Superfilm,"nm0381428, nm1267810, nm0688787, nm0757369, nm0312909, nm0769330, nm0211282"
La storia di una capinera,tt0036389,1943,Italy,nm0726729,,,,,Titanus,"nm0078055, nm0329746, nm0520553, nm0274102, nm0490404, nm0414294, nm0683647, nm0267249, nm0812765, nm0823100, nm0011575, nm0068943, nm0162490, nm0215345, nm0330926, nm1015231, nm0663247, nm0670971, nm0685066"
La statua di carne,tt0197914,1921,Italy,nm0021933,August,1921,Italy,"Rome, Turin",Fert Film,"nm0021935, nm0082101, nm0144302, nm0172822, nm0448656, nm1252987"
Romance,tt0021310,1930,USA,nm0113284,August,1930,USA,,Metro-Goldwyn-Mayer (MGM),"nm0001256, nm0832011, nm0330200, nm0637790, nm0482142, nm0087404, nm0035455, nm0173920, nm0209740, nm0096475, nm0195460, nm0363545, nm0533006, nm0542870, nm0781232, nm0821054"
Maciste poliziotto,tt0008237,1918,Italy,nm0730743,March,1918,Italy,Turin,Itala Film,"nm0656034, nm0021935, nm0135303, nm1270659, nm0744105, nm0035996"
La porta chiusa,tt0963326,1913,Italy,nm0624511,November,1913,Italy,Rome,Società Italiana Cines,"nm0381428, nm0526921, nm0626131, nm0579618"
Il re Burlone,tt0026913,1936,Italy,nm0345500,March,1936,USA,,"Capitani-Icar, Produzione Capitani Film","nm0272670, nm0266031, nm0093770, nm2180681, nm0162322, nm0182292, nm0187642, nm0188133, nm0195830, nm0219166, nm0230986, nm0244596, nm0244599, nm0246578, nm0259599, nm0261180, nm0274077, nm0303416, nm0304989, nm0335694, nm0487137, nm0516619, nm0538080, nm0539174, nm1550637, nm0577010, nm0660018, nm0667611, nm1403175, nm0676131, nm0685609, nm0738856, nm0738871, nm0743966, nm2177291, nm0762718, nm1320049, nm0784988, nm0832375, nm0899262, nm0957867, nm2178858"
La vergine folle,tt0215331,1920,Italy,nm0726729,August,1920,Italy,Rome,Tiber-film,"nm0144302, nm0172822, nm0352120, nm0414294, nm1302718, nm1316056"
Arrivederci Firenze,tt0051672,1958,Italy,nm0298928,,,,,,"nm0143686, nm0290013, nm0049836, nm0538729, nm1376733, nm0825923, nm0215699, nm5474284, nm0683627, nm0330924, nm5510833, nm5474256, nm5474266, nm5474336, nm1374878, nm1499946, nm1890520, nm0661483, nm5474278, nm5474324, nm5474283, nm5474301, nm5474279, nm5474273, nm5474316, nm5474274, nm5474318, nm5474277, nm5474268, nm5474298, nm5474329, nm0885294, nm5474338"
Der Schrecken des Meeres,tt0249140,1924,Germany,nm0652302,November,1924,Germany,,Münchner Lichtspielkunst AG (Emelka),"nm0212234, nm1274007, nm0521556, nm0538729, nm0617050, nm0774114, nm1273093"
Il sogno di un tramonto d'autunno,tt0203926,1911,Italy,nm0535957,December,1911,Austria,Turin,Società Anonima Ambrosio,"nm1064675, nm1291445, nm1250893, nm1148942, nm0538729, nm0603065, nm1294580, nm0850499, nm1205185, nm0890415, nm0899597, nm0901591"
Come l'aquila,tt0965470,1914,Italy,,May,1914,Italy,Turin,Itala Film,"nm0021935, nm0610618"
Il principe Zilah,tt0203801,1919,Italy,nm0211634,October,1920,Portugal,Turin,Gladiator Film,"nm0109263, nm0231876, nm0538729, nm0693529, nm0872195"
L'emigrata,tt0171266,1918,Italy,nm0312866,,,,,Itala Film,nm0414294
L'ultimo amplesso,tt1041872,1912,Italy,,,1912,Italy,Turin,Savoia Film,"nm1292464, nm0414294, nm0518359"
"La donna, il diavolo, il tempo",tt0168698,1921,Italy,nm0070374,,,,,,nm0078116
Sempre nel cor la patria,tt0203106,1915,Italy,nm0303120,September,1915,Italy,Rome,Società Italiana Cines,"nm1216023, nm1271564, nm0350524"
Maddalena Ferat,tt0183457,1920,Italy,"nm0546917, nm0730743",December,1920,Italy,Rome,"Bertini Film, Caesar Film","nm0078116, nm1267810, nm1287032, nm0321500, nm0663286, nm0682595, nm1252987, nm1146560"
Ernani,tt1012730,1911,France,nm0309163,December,1911,Spain,,Film d'Arte Italiana,nm0078116
Lulù,tt0183439,1914,Italy,nm0312866,June,1914,Italy,Rome,Monopol-Film,"nm0749431, nm1302718, nm0579618"
Bohème - Künstlerliebe,tt0137399,1923,Germany,nm0726729,November,1923,Finland,,"Jacobini-Film, Berlin, Maria Jacobini Film","nm0414294, nm0526266, nm0418079, nm0226189, nm0785802, nm0254012, nm0104948, nm0299833, nm0324501, nm0510761, nm0070622, nm0368117"
Maligno riflesso,tt0183481,1916,Italy,nm0784988,,,,,,"nm0078116, nm0784988"
Grand Hôtel Paradis,tt1045108,1924,Italy,nm0673035,June,1924,Italy,Naples,Lombardo Film,"nm0350524, nm0448656, nm0718580"
Capricci di gran signore,tt0938564,1913,Italy,nm1156070,,1913,Italy,Turin,Pasquali e C.,"nm0139215, nm0162321, nm1291814, nm0414294"
Contrasto,tt0963285,1913,Italy,,September,1913,Italy,Rome,Società Italiana Cines,"nm0381428, nm0557831, nm0579618, nm0526921"
La giovinezza del diavolo,tt0178489,1925,Italy,nm0730743,March,1925,Italy,Rome,Caesar Film,"nm0078116, nm1291308, nm1291841, nm1293512, nm0682530, nm0887830, nm0899262, nm1218250"
Le due scommesse,tt1051781,1912,Italy,,October,1912,Italy,Rome,Società Italiana Cines,"nm0078116, nm1014493, nm2711497"
Gli onori della guerra,tt1049154,1917,Italy,nm0624511,January,1917,Italy,Catania,Etna Film,"nm0137706, nm0144302, nm0144313, nm0172822, nm1292135, nm0381428"
Gli amori di Casanova,tt0020120,1929,Italy,,,,,,,nm0209740
L'ultimo dei Bergerac,tt0025930,1934,Italy,nm0726729,,,,,Faro Film,"nm1550637, nm0266032, nm0021935, nm0667546, nm0315984, nm0177815, nm0148132, nm0826601, nm1549379, nm0538080, nm0585936, nm0746296, nm0854661, nm1253447, nm1547876, nm0142765, nm0154804, nm0182414, nm0184468, nm0195830, nm0223997, nm0244596, nm0304864, nm1550508"
Alma mater,tt0963270,1915,Italy,nm0345500,April,1915,Italy,Rome,Società Italiana Cines,"nm2552710, nm0579618, nm0682204, nm0688230"
La morta del lago,tt0963314,1915,Italy,nm0345500,January,1915,Italy,Rome,Società Italiana Cines,"nm0056080, nm1271564, nm0350524, nm0579618"
Como aquel día,tt0006542,1916,"Italy, Spain",nm0143333,May,1916,Italy,Turin,Excelsa Films,"nm0143332, nm0143333, nm0225184, nm0264693, nm0350524, nm0664196, nm0743102"
L'ira,tt0193242,1918,Italy,nm0070374,September,1918,Italy,Rome,Caesar Film,"nm0078116, nm0784988, nm0872195, nm0286480, nm0016688"
L'anima del demi-monde,tt0254093,1913,Italy,nm0624511,,,,,,nm0078116
Lilly e Lillette o l'arte di farsi amare,tt0457992,1921,Italy,nm0952610,July,1921,Italy,Naples,Lombardo Film,"nm0350524, nm0487727, nm0650750, nm0718580, nm1912997"
Mia moglie si è fidanzata,tt0463152,1921,Italy,nm0952610,July,1921,Italy,Naples,Lombardo Film,"nm0350524, nm0743102, nm0718580, nm0650750, nm0156127"
Die blonde Hannele,tt0484097,1924,Germany,nm0782703,November,1924,Germany,,Münchner Lichtspielkunst AG (Emelka),"nm1084539, nm0212234, nm0538729, nm0105970, nm0266234, nm0553808, nm0774114"
La leggenda di Pierrette,tt0182272,1916,Italy,nm0952610,October,1916,Italy,Turin,Società Anonima Ambrosio,"nm0538729, nm0187642, nm0215956"
L'avvoltoio,tt1398936,1913,Italy,nm0624511,January,1913,Spain,Rome,Celio Film,"nm0078116, nm0315780, nm0172822, nm1268180, nm0302942"
Maciste nella gabbia dei leoni,tt0017097,1926,Italy,nm0109264,April,1927,Portugal,Turin,Cinès-Pittaluga,"nm0656034, nm0762718, nm0785802, nm1260476, nm0345436, nm1148942, nm0352120, nm0172822, nm0080672, nm0109263, nm0051737, nm0757369"
La morte civile,tt1065465,1910,Italy,nm0516263,November,1910,Italy,Rome,"Film d'Arte Italiana, Pathé Frères","nm0637025, nm0304862, nm0078116, nm0156990, nm0316269, nm2713451"
Il romanzo di Maud,tt0903962,1917,Italy,nm0439188,April,1917,Italy,Turin,Società Anonima Ambrosio,"nm1216023, nm0135421, nm0439188"
Il buon Samaritano,tt1080896,1919,Italy,nm0734958,June,1919,Italy,Turin,Rodolfifilm,"nm0109266, nm2449581, nm2501731, nm0693529, nm0785378"
Cola di Rienzo,tt1065401,1911,Italy,,,1911,Italy,Rome,Film d'Arte Italiana,"nm0078116, nm0518359, nm1011921"
L'orgoglio,tt0009457,1918,Italy,nm0070374,June,1918,Italy,Rome,"Bertini Film, Caesar Film","nm0078116, nm0872195, nm0286480, nm1295234, nm0598712"
Hedda Gabler,tt0178567,1920,Italy,"nm0952610, nm0665163",August,1920,Italy,,,"nm0021935, nm0082101, nm0195176, nm0487727, nm0682530, nm0702893, nm0744105"
Tua per la vita,tt0193580,1917,Italy,nm0211634,February,1917,Italy,Turin,Gladiator Film,"nm0021935, nm0124744, nm0142822, nm0161733, nm0679170, nm0867930"
La contessa di Challant e Don Pedro di Cordova,tt0166549,1911,Italy,nm0516263,November,1911,Spain,Rome,"Film d'Arte Italiana, Pathé Frères","nm0078116, nm0784988"
La belle Madame Hebért,tt1000067,1922,Italy,nm0624511,February,1922,Italy,Rome,Tiber-film,"nm0138479, nm0381428, nm2500842, nm0769330, nm1893945, nm1267258, nm1437917, nm1277772, nm1146560"
Tosca,tt0009715,1918,Italy,nm0207107,November,1918,Spain,Rome,Caesar Film,"nm0070962, nm0078116, nm0080672, nm0162244, nm0207107, nm0312909, nm0784988"
Quarantäne,tt0014387,1923,Germany,nm0533048,November,1923,Germany,,Internationale Film AG (IFA),"nm0504811, nm0538729, nm0626520, nm0547998, nm0499000, nm0308460, nm1833079, nm0441193, nm0772578, nm0774702, nm1430158, nm1867585, nm0021708, nm0313447"
Bufera,tt0158526,1926,Italy,nm0209741,March,1926,Italy,Rome,De Liguoro Film,"nm0070959, nm0117874, nm0168059, nm0209740, nm0345223, nm1302467"
Il piccolo contorsionista,tt1080971,1914,Italy,nm0624511,June,1914,Italy,Milan,Milano Film,"nm0109266, nm2791903"
Maciste e il nipote d'America,tt0015102,1924,Italy,nm0734958,March,1924,Italy,Turin,"Fert Film, Societa Anonima Stefano Pittaluga","nm0656034, nm0414293, nm0172822, nm0688787, nm0051737, nm0082101, nm0109266"
La maestrina,tt1067203,1919,Italy,nm0734958,May,1919,Italy,Turin,Rodolfifilm,"nm0109263, nm0109266, nm2718631, nm0785378"
Espiazione,tt1067161,1916,Italy,nm0181231,February,1916,Italy,Rome,Apollo Films,"nm0109264, nm0109266, nm1269356, nm0899597"
Un giuramento,tt1045101,1914,Italy,,June,1914,Italy,Rome,Società Italiana Cines,"nm1298105, nm0350524, nm1294238"
The Mad Empress,tt0032740,1939,"Mexico, USA",nm0176472,December,1939,USA,,Miguel Contreras Torres,"nm0636969, nm0041172, nm0619261, nm0692826, nm0107574, nm0217303, nm0569466, nm0730165, nm0167032, nm0207637, nm0899521, nm0348170, nm0716501, nm0026049, nm0292537, nm0719121, nm0739419, nm0729480, nm0781232, nm0615350, nm0090371, nm0209740, nm0298832, nm0307986, nm0636199, nm0756814, nm0828314, nm0842522"
Fior di male,tt0173845,1915,Italy,nm0303120,March,1915,Italy,Rome,Società Italiana Cines,"nm0056080, nm0096330, nm0579618, nm1294238, nm0688230, nm0874482"
Non è resurrezione senza morte,tt0268502,1922,Italy,nm0070374,October,1922,Italy,Rome,Sangro Film,"nm0161750, nm0211282, nm0277765, nm0345223, nm0762718, nm0769330"
Sua cognata,tt0209376,1913,Italy,nm0345500,March,1913,Spain,Rome,Società Italiana Cines,"nm0137706, nm2549049, nm0350524, nm0557831, nm0855870"
Il siero del dottor Kean,tt0963333,1913,Italy,,,1913,Italy,Rome,Società Italiana Cines,"nm0137706, nm2549049, nm0315780, nm0557831, nm0579618, nm1295384"
In faccia al destino,tt0179234,1913,Italy,nm0624511,January,1913,Spain,Rome,Celio Film,"nm0078116, nm0315780"
Moderne Ehen,tt0165823,1924,"Czechoslovakia, Germany",nm0653250,December,1924,Germany,,"Filmindustrie, Welt-Film, Munic","nm1659135, nm0538729, nm0821504, nm0289799, nm0034665, nm0466776, nm1274101, nm0039489, nm0226189, nm0785762, nm0555517, nm0685550, nm0438946, nm0420695, nm2739367, nm1055358, nm1798245, nm2755090"
Amore che uccide,tt0214471,1916,Italy,nm0143333,August,1916,Italy,Turin,Films Manipulation Agency,"nm0032106, nm0135493, nm0143332, nm0274673, nm0350524, nm0679170, nm1302243"
L'altro pericolo,tt1049030,1920,Italy,nm0624511,December,1920,Italy,Rome,Tiber-film,"nm1992113, nm2690136, nm0381428, nm0667546, nm2690176, nm1294250, nm0688787, nm2500842, nm1316056"
I quattro di Bir El Gobi,tt0385972,1942,Italy,nm1481994,,,,,Fono Roma,"nm0037704, nm0070955, nm0312633, nm0313065, nm0414294, nm0577488, nm0616027, nm0812765"
Melodie eterne,tt0032778,1940,Italy,nm0303120,December,1940,Italy,,Ente Nazionale Industrie Cinematografiche (ENIC),"nm0148974, nm0599354, nm0066745, nm0414294, nm0616027, nm0667611, nm0832375, nm0311165, nm0329746, nm0313123, nm0046774, nm0894503, nm0613904, nm0231878, nm0545067, nm0749306, nm0830627, nm0182292, nm0244596, nm0688770, nm0553335, nm0890122, nm0646742, nm0053569, nm0133062, nm0171729, nm1410828, nm0413064, nm0538969"
Cabiria,tt0003740,1914,Italy,nm0665163,,1914,Turkey,Turin,Itala Film,"nm0146028, nm0702894, nm0544845, nm0856422, nm0610618, nm0656034, nm0224122, nm0889527, nm0202688, nm0021935, nm0076131, nm0155080, nm0224346, nm0312553, nm0526921, nm0078116, nm0274079, nm0303122, nm0303742, nm0579618, nm0591622, nm0615923, nm0771998"
L'aigrette,tt0188397,1917,Italy,nm0624511,June,1918,Portugal,Rome,Tiber-film,"nm0137706, nm0138479, nm0352120, nm0381428, nm0414293, nm1300239"
Cuore di sorella,tt1031565,1912,Italy,,November,1912,Italy,Rome,Società Italiana Cines,"nm0381428, nm0557831, nm0682204"
L'arma dei vigliacchi,tt0259195,1913,Italy,nm0624511,,,,,Celio Film,"nm0078116, nm0172822, nm0315780, nm0208352"
Suonatori ambulanti,tt0209388,1912,Italy,nm0030748,March,1912,UK,Rome,Società Italiana Cines,"nm0078116, nm0557831"
Ritrovarsi,tt0039773,1947,Italy,nm0657509,,,,,Excelsior Film,"nm0209740, nm0684841, nm0033982, nm0780002"
L'eredità di Gabriella,tt1041727,1913,Italy,,,1913,Italy,Turin,Savoia Film,"nm0414294, nm1899346, nm0739971, nm2674031, nm1296632, nm2675887"
Lisa Fleuron,tt0182292,1920,Italy,nm0730743,June,1920,Italy,Rome,"Bertini Film, Caesar Film","nm0078116, nm0162244, nm0195903, nm0209609, nm1293560, nm0688230, nm0759474"
L'età critica,tt0342355,1921,Italy,nm0657535,May,1921,Italy,Rome,Rinascimento Film,"nm0579618, nm0667546, nm0277765, nm0208352, nm2553259, nm2545801, nm2548379, nm1533355"
Via Crucis,tt0923027,1919,Italy,nm1513152,October,1919,Italy,Turin,Italo-Egiziana Film,"nm0201030, nm2489934, nm0762718"
Il trittico,tt0211685,1923,Italy,nm0094801,,,,,,"nm0078261, nm0094801, nm0209740, nm0211282, nm0605628, nm0730135, nm1146178"
Vincolo segreto,tt0963360,1916,Italy,nm1002138,February,1916,Italy,Catania,Sicula Film,"nm2543880, nm0098700, nm2553258, nm0579618, nm0705304, nm0710749"
Il giardino incantato,tt0347065,1918,Italy,nm0673035,December,1918,Italy,Rome,Rinascimento Film,"nm0579618, nm0785802, nm1272714, nm0769330, nm0771160, nm1324232"
La chiromante,tt0340625,1921,Italy,nm0021933,,,,,,nm0021935
Rapsodia satanica,tt0005951,1917,Italy,nm0654581,July,1917,Italy,Rome,Società Italiana Cines,"nm0096330, nm0352120, nm0063379, nm0162448, nm0063375, nm0626131"
Maternita tragica,tt0963312,1914,Italy,,December,1914,Italy,Rome,Società Italiana Cines,"nm1531292, nm1514324, nm0579618"
Leda innamorata,tt1045151,1915,Italy,nm0407846,March,1915,Italy,Rome,Celio Film,"nm0161750, nm0350524"
La bella salamandra,tt1047587,1917,Italy,nm0657535,July,1917,Italy,Rome,Cosmopoli Film,"nm0144313, nm0303122, nm0682530, nm0684659, nm1317848, nm1302492, nm2487812, nm2680949"
Addio giovinezza!,tt0167755,1918,Italy,nm0312866,November,1919,Spain,Turin,Itala Film,"nm0082101, nm0135303, nm0414294, nm0448656, nm0538729"
L'accidia,tt0199297,1919,Italy,nm0207107,January,1919,Italy,Rome,Caesar Film,"nm0078116, nm0872195, nm0667546, nm0211158, nm0016688, nm0162244, nm0312909"
Rondine,tt1045197,1929,Italy,nm0673035,February,1929,Italy,"Naples, Rome",Titanus,"nm1322776, nm0350524, nm0650750, nm1100228"
Il processo Clémenceau,tt0193434,1917,Italy,nm0207107,September,1917,Spain,Rome,Caesar Film,"nm0078116, nm0162490, nm0189970, nm0207107, nm0001120, nm0448656, nm0598712, nm0784988"
Miss Dorothy,tt0187294,1920,Italy,nm0030748,June,1920,Italy,Rome,Nova Film,"nm0094529, nm0131042, nm1292225, nm0439188"
La donna di cuori,tt1063609,1917,Italy,nm0624511,January,1917,Italy,Rome,Tiber-film,"nm0138479, nm0144302, nm0381428, nm0526921"
Mio zio Barbassous,tt0927133,1921,Italy,nm0143975,October,1921,Italy,Rome,Chimera Film,"nm0094529, nm0131206, nm2496237, nm0762718"
Beatrice Cenci,tt0214527,1911,Italy,nm0266080,May,1911,Colombia,,,nm0414294
La leggenda di Santa Barbara,tt0182274,1918,Italy,,,,,,Società Italiana Cines,nm0096330
"Garibaldi, l'eroe dei due mondi",tt0175646,1926,Italy,,,,,,,nm0209740
Rose e spine,tt0200070,1914,Italy,nm1004886,May,1914,Italy,Rome,Celio Film,"nm0078116, nm0137706, nm0302942, nm0350524"
A San Francisco,tt1080884,1915,Italy,nm0784988,December,1915,Italy,Rome,Caesar Film,"nm0070959, nm0109266, nm0211158, nm0784988, nm2455863"
Il patto,tt0193382,1916,Italy,,,,,,,nm0078116
L'apostolo,tt0965578,1916,Italy,nm0952610,August,1916,Italy,Turin,Società Anonima Ambrosio,"nm0610618, nm0538729, nm0603386, nm0124744, nm0768865, nm0785378, nm0850499"
Amore di donna,tt0247922,1920,Italy,nm0730743,,,,,,nm0078116
La via dolorosa,tt1063664,1915,Italy,nm0957995,March,1915,Italy,Milan,Milano Film,"nm1298942, nm0212191, nm0381428"
Taras Bulba,tt0343065,1924,Germany,"nm0834496, nm0259616",June,1928,Japan,,"Ermolieff-Film, Orbis-Film","nm1282905, nm1742103, nm0538729, nm0547998, nm1742316, nm0687223, nm0689798, nm1742397, nm1284256, nm1743216"
Kochanka Szamoty,tt0151235,1927,Poland,nm0873152,March,1927,Poland,,Kolos,"nm0538729, nm0843313, nm0973468, nm0355185, nm0719874"
Pero tu amor me redime,tt0007176,1916,"Italy, Spain",nm0143333,,,,,,"nm0094801, nm0143332, nm0350524, nm1300897, nm1301765, nm1302130, nm1302270"
Idolo infranto,tt0178618,1913,Italy,nm0315780,October,1913,Italy,Rome,Società Italiana Cines,"nm0078116, nm0302942, nm0172822"
Triboulet,tt0211680,1923,Italy,nm0546917,December,1923,Italy,Rome,Società Italiana Cines,"nm0144313, nm0345223, nm0537818, nm0546917, nm0579615, nm0719118, nm0762718, nm0771160, nm1437917, nm0899262, nm1218250, nm1295663"
L'innamorata,tt0179872,1920,Italy,nm0726729,November,1920,UK,"Rome, Turin",Fert Film,"nm0021935, nm0079246, nm0144302, nm1250994, nm0172822, nm0757369"
Le vittime dell'oro,tt0929492,1921,Italy,nm0142822,September,1921,Italy,Turin,Jupiter Film,"nm1522679, nm0762718"
Historia del cine: Epoca muda,tt1439230,1983,Spain,nm3458149,,1983,,,Editorial Casals,"nm0011063, nm0000858, nm0151606, nm0000122, nm0153713, nm0249379, nm0001196, nm0001316, nm0366586, nm0000036, nm0003377, nm0491048, nm0511729, nm0516001, nm0594291, nm0689444, nm0783865, nm0804434, nm0827509, nm0002154, nm1354245, nm0172903, nm0214243, nm0252472, nm0266029, nm0270415, nm1159058, nm0414294, nm0417837, nm0431069, nm0459030, nm0470328, nm0514027, nm0529313, nm0564219, nm0577922, nm0610620, nm0639563, nm0689869, nm0697602, nm1160085, nm0725332, nm0775180, nm0775659, nm0891998, nm0900063, nm0900299, nm0903145, nm0917467"
La donna abbandonata,tt1063608,1917,Italy,nm0624511,October,1917,Italy,Rome,Tiber-film,"nm0138479, nm0381428"
Rubacuori,tt0022328,1931,Italy,nm0109264,March,1932,USA,,Società Italiana Cines,"nm0266031, nm0490404, nm0232371, nm0452209, nm0215823, nm0187642, nm0109266, nm0553335, nm0147940, nm0830052, nm0080672, nm0080615, nm1435117, nm0608314, nm0664518, nm1382603"
Quo Vadis,tt0043949,1951,USA,"nm0503777, nm0542649",May,1953,New Zealand,,Metro-Goldwyn-Mayer (MGM),"nm0001791, nm0000039, nm0312890, nm0001811, nm0480784, nm0192958, nm0812125, nm0078055, nm0046331, nm0043875, nm0842677, nm0874298, nm0941076, nm0587213, nm0242572, nm0360389, nm0165061, nm0190194, nm0748660, nm0907423, nm0545294, nm0114733, nm0889658, nm0653085, nm0875630, nm0867895, nm1014337, nm0024362, nm0034234, nm0047625, nm1714657, nm0063634, nm3925942, nm0083157, nm3925943, nm0096317, nm0103320, nm0112983, nm3925140, nm0115619, nm3924613, nm1486194, nm0173240, nm0180920, nm0181295, nm0185825, nm3938327, nm0209037, nm3928832, nm0215345, nm0215824, nm0209637, nm3925736, nm3939162, nm3927079, nm0266886, nm0268803, nm0272360, nm0276417, nm0286423, nm1919296, nm3938909, nm0303412, nm0308257, nm3939608, nm0313455, nm2498544, nm2151933, nm0341697, nm3926026, nm0400902, nm0421082, nm0452404, nm1748544, nm0470906, nm0488249, nm0000047, nm0522256, nm0538729, nm1081811, nm0548270, nm0558089, nm0992275, nm0575616, nm0584266, nm0596828, nm0616913, nm0626142, nm3938371, nm3938345, nm0655816, nm3940341, nm0668391, nm0682074, nm0684266, nm0687092, nm3939648, nm0706221, nm1015495, nm3939726, nm0729866, nm3924534, nm0763402, nm0502146, nm3938846, nm1873205, nm3939673, nm3938796, nm3938465, nm3940265, nm0817881, nm1843936, nm0848937, nm0000072, nm0853333, nm0867796, nm0869193, nm0872640, nm0884094, nm0889281, nm0890122, nm0892008, nm0892140, nm6043645, nm3925036, nm0953088"
Orient - Die Tochter der Wüste,tt0338312,1924,Germany,nm0726729,March,1925,Finland,,Trianon-Film GmbH,"nm0414294, nm0509573, nm0830135, nm0919976, nm0902607, nm0488932, nm0707778, nm1241788, nm1261754, nm0475470"
Cuore d'acciaio,tt1027017,1912,Italy,,December,1912,Italy,Rome,Società Italiana Cines,"nm0381428, nm0172822, nm0526921, nm0137706, nm0557831, nm0682204"
Memoria dell'altro,tt0185483,1914,Italy,nm1291860,October,1914,Finland,Turin,Film Artistica Gloria,"nm0096330, nm0094801, nm0744105, nm0702893, nm0676131"
L'antenato,tt0027299,1938,Italy,nm0109264,October,1938,USA,,Astra Film,"nm0053224, nm0055364, nm0109266, nm0174582, nm0195208, nm0195525, nm0259599, nm0295545, nm0304211, nm0738871, nm1907315, nm0798570, nm1494284, nm1408188"
Sul sentiero della vipera,tt0965535,1912,Italy,nm2486447,,1912,Italy,Turin,Savoia Film,"nm0021935, nm1333550, nm0739971"
La fiammata,tt1047617,1922,Italy,nm0303120,November,1922,Italy,Rome,Caesar Film,"nm0303122, nm0352120, nm0553335"
Messalina,tt0013388,1924,Italy,nm0345500,January,1924,Finland,Rome,Guazzoni Film,"nm0209740, nm0078343, nm0090548, nm0144663, nm0193763, nm0561489, nm1189302, nm0304989, nm0427139, nm0557831, nm0847790, nm0855870, nm0873732, nm0953131"
Esclave,tt0145768,1922,France,"nm0597597, nm0659751",December,1922,France,,Pathé Consortium Cinéma,"nm0350524, nm0000964, nm0310262, nm0622036"
Das Geheimnis einer Stunde,tt0965628,1925,Germany,nm0643138,,1925,Germany,,Münchner Lichtspielkunst AG (Emelka),"nm0624601, nm0538729, nm2053395, nm0626501, nm4859591, nm0472122, nm1261280, nm0553808, nm2555934, nm0462791"
L'ospite sconosciuta,tt0963322,1923,Italy,nm1302092,April,1923,Italy,Rome,Rinascimento Film,"nm1902416, nm1916496, nm1283689, nm0579618, nm0663286"
Romeo e Giulietta,tt0123088,1912,Italy,nm0266080,January,1912,Italy,Rome,"Film d'Arte Italiana, Pathé Frères","nm0784988, nm0078116, nm0304862, nm1011921"
