film_title,imdb_id,film_year,production_country,director,release_month,release_year,release_location,production_locality,production_company,cast
Gli ultimi giorni di Pompeii,tt0143962,1926,Italy,"nm0303120, nm0657535",March,1926,Italy,Rome,Società Italiana Grandi Films,"nm0889511, nm0209740, nm0179386, nm0324553, nm0315780, nm0548053, nm0090548, nm0266928, nm0262482, nm0080697, nm0345223, nm0187642, nm0553335, nm0682595, nm0599981, nm0657537, nm0718580, nm0244596, nm0312633, nm0899933, nm0237868, nm0626197, nm0144663"
La via più lunga,tt1041878,1918,Italy,nm0143333,February,1918,Italy,Rome,Tiber-film,"nm0137706, nm0138479, nm0195221, nm0352120, nm0414293, nm0414294"
Ah! le donne!,tt1080885,1917,Italy,nm0734958,August,1917,Italy,Turin,Jupiter Film,"nm0109266, nm0693529, nm0734958"
Una tragedia alla Corte di Milano,tt1065516,1912,Italy,,,1912,Italy,Rome,Film d'Arte Italiana,"nm0078116, nm1011921, nm0784988, nm2709355"
Alla deriva,tt0934778,1915,Italy,nm0345500,March,1915,Italy,Rome,Società Italiana Cines,"nm0056080, nm0137706, nm0579618, nm0688230, nm0874482"
Perché no?,tt0211567,1930,USA,nm0657535,November,1930,Italy,,Paramount Pictures,"nm0414294, nm0667546, nm0082101, nm1984205, nm0629270, nm1994855, nm1991769, nm0889246, nm1986058, nm1992057, nm0284721, nm1146178"
Anima allegra,tt0193719,1919,Italy,nm0730743,August,1919,Italy,Rome,Caesar Film,"nm0078116, nm0162244, nm0211424, nm0664703, nm0667546, nm0723161, nm0759474, nm0771160"
La moglie dell'autore,tt1047651,1914,Italy,nm0303120,June,1914,Italy,Rome,Società Italiana Cines,"nm0303122, nm1295384"
La signorina Chicchiricchì,tt1045209,1929,Italy,nm0673035,April,1929,Italy,"Naples, Rome",Titanus,"nm0350524, nm0650750, nm1100228"
Il conquistatore del mondo,tt0299702,1919,Italy,nm0730743,,,,,,"nm0078116, nm0759474"
Vittima felice,tt1027193,1912,Italy,,November,1912,Italy,Rome,Società Italiana Cines,"nm0381428, nm0784988, nm0137706"
Una peccatrice,tt0193393,1918,Italy,nm0030748,September,1918,Italy,Naples,"Polifilms (Società Anonima Industria Cinematografica, SAIC)","nm1513704, nm0195221, nm2457065, nm0350524, nm0526921"
Der Schuß im Pavillon,tt0471906,1925,Germany,nm0643138,September,1925,Germany,,Münchner Lichtspielkunst AG (Emelka),"nm0624601, nm0772162, nm0538729, nm0074243, nm0353042, nm0377524, nm0462791, nm0553808, nm1991823"
La signora innamorata,tt0965675,1920,Italy,nm0743102,February,1920,Italy,Turin,Gladiator Film,"nm0264693, nm0335908, nm0538729, nm0743102, nm0872195, nm1295234"
Zingari,tt0310394,1920,Italy,nm0021933,December,1920,Italy,"Rome, Turin",Fert Film,"nm0021935, nm0140054, nm0144302, nm0637019, nm0757369, nm1302465, nm1315931"
A sipario calato,tt0963268,1913,Italy,,,1913,Italy,Rome,Società Italiana Cines,"nm0579618, nm2269238, nm0855870, nm1029576"
La gloria,tt0178508,1913,Italy,nm0624511,November,1913,Spain,Rome,Celio Film,"nm0078116, nm0172822, nm0597903, nm0208352"
La tenebrosa mano,tt0965537,1916,Italy,,February,1916,Italy,Turin,Itala Film,"nm0021935, nm2563820, nm0202688, nm1518450"
Die Frau von vierzig Jahren,tt0132174,1925,Germany,nm0652650,April,1925,Germany,,Richard-Oswald-Produktion,"nm0439188, nm0301146, nm0036324, nm0653288, nm0334490, nm0362501, nm0818421, nm0246842, nm0476535, nm0258768"
La Biondina,tt0963275,1923,Italy,nm0657535,December,1923,Italy,Rome,Rinascimento Film,"nm0579618, nm0667546, nm0208352"
L'arma del vile,tt1063593,1914,Italy,nm0730611,March,1914,Italy,Milan,Milano Film,"nm0381428, nm0667546, nm2709059"
I vagabondi,tt1047700,1914,Italy,nm0303120,June,1914,Italy,Rome,Società Italiana Cines,"nm0056080, nm0303122, nm1295384"
Il vetturale del Moncenisio,tt0018538,1927,Italy,nm0624511,December,1928,France,Turin,Societa Anonima Stefano Pittaluga,"nm0656034, nm0209740, nm0143685, nm0076131, nm0117874, nm0109263, nm1260476, nm0543484, nm1148942, nm1302908, nm0591622, nm1301122"
Il Fauno di marmo,tt0172427,1920,Italy,nm0094801,March,1920,Italy,Rome,Celio Film,"nm0762718, nm1265542, nm0345223, nm0277765, nm1266871, nm0063379, nm1267258, nm0302942, nm0682204, nm1265164, nm0094801"
Venere propizia,tt0929489,1919,Italy,nm1513152,December,1919,Italy,Turin,Circe Film,"nm2489934, nm0702894, nm0762718"
La casa sotto la neve,tt0161388,1922,Italy,nm0726729,March,1922,Italy,Rome,E.D.A.,"nm0135421, nm0414294, nm0526921, nm1146178"
La madre,tt1045161,1913,Italy,nm0624511,,1913,Italy,Rome,Società Italiana Cines,"nm0172822, nm0350524, nm0381428"
La preda,tt0195171,1921,"France, Italy",nm0957995,July,1921,Italy,"Rome, Turin",Fert Film,"nm0414294, nm0637019, nm0144302, nm0094529, nm0137706, nm1534154, nm0448656, nm0899528"
Il richiamo,tt0200022,1921,Italy,nm0726729,October,1921,Italy,"Rome, Turin",Fert Film,"nm0070959, nm0244600, nm0414294, nm0448656, nm0874482"
Crevalcore,tt0345084,1917,Italy,nm1513152,October,1917,Italy,Milan,Armenia Film,"nm0021935, nm1513092, nm0211159, nm0244600, nm1294774, nm1517157"
Il romanzo,tt0200059,1913,Italy,nm0554245,August,1913,Italy,Rome,Società Italiana Cines,"nm1271564, nm0303120, nm0303122, nm0557831, nm0579618, nm1273032"
Il delitto dell'opera,tt0943413,1917,Italy,nm0734958,April,1917,Italy,Turin,Jupiter Film,"nm0109266, nm2521128, nm1298843, nm1241788, nm0693529, nm0734958, nm0744105, nm1302243"
Giovinezza trionfa!,tt0934846,1914,Italy,nm0312866,June,1914,Italy,Rome,Società Italiana Cines,"nm1298105, nm0321346, nm0579618, nm0874482"
Occupati d'Amelia,tt0963319,1925,Italy,nm1302092,March,1925,Italy,Rome,Rinascimento Film,"nm0211158, nm0526266, nm0529695, nm0579618, nm0718580"
Napule... e niente cchiù,tt0312996,1928,Italy,nm0673035,January,1928,Italy,Naples,Lombardo Film,"nm0350524, nm0650750, nm0684841, nm0780978, nm1100228, nm1322115, nm1322564"
L'onestà che uccide,tt0191331,1914,Italy,nm1004886,April,1914,Italy,Rome,Celio Film,"nm0078116, nm0137706, nm0302942, nm0352120"
Madame Flirt,tt0193308,1918,Italy,nm0624511,June,1918,Italy,Rome,Tiber-film,"nm0138479, nm0381428"
